ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
1,00001,AK,AK_Dillingham,AK_Dillingham,1275,AK_Dillingham,-99,NULL,59.889141,-158.076199
2,00002,AK,AK_Yukon-Koyukuk,AK_Yukon-Koyukuk,490,AK_Yukon-Koyukuk,-99,NULL,66.668849,-146.315185
3,00003,AK,AK_Lake and Peninsula,AK_Lake and Peninsula,2052,AK_Lake and Peninsula,-99,NULL,57.508048,-157.025944
4,00004,AK,AK_Kenai Peninsula,AK_Kenai Peninsula,1963,AK_Kenai Peninsula,-99,NULL,60.198534,-153.202017
5,00005,AK,AK_Lake and Peninsula,AK_Lake and Peninsula,2052,AK_Lake and Peninsula,-99,NULL,60.570442,-154.602887
6,00006,AK,AK_Matanuska-Susitna,AK_Matanuska-Susitna,2318,AK_Matanuska-Susitna,-99,NULL,62.569852,-149.418567
7,00007,AK,AK_North Slope,AK_North Slope,2572,AK_North Slope,-99,NULL,68.973822,-152.470563
8,00008,AK,AK_Prince of Wales-Oute,AK_Prince of Wales-Oute,2821,AK_Prince of Wales-Oute,-99,NULL,56.00435,-131.443273
9,00009,AK,AK_Bethel,AK_Bethel,694,AK_Bethel,-99,NULL,61.560709,-153.662526
10,00010,AK,AK_Wade Hampton,AK_Wade Hampton,260,AK_Wade Hampton,-99,NULL,62.505906,-161.995098
11,00011,AK,AK_Kenai Peninsula,AK_Kenai Peninsula,1963,AK_Kenai Peninsula,-99,NULL,59.943058,-150.526167
12,00012,CA,CA_Lassen,CA_Lassen,2077,CA_Lassen,-99,NULL,40.248685,-120.958509
13,00014,AZ,AZ_Pima,AZ_Pima,2749,AZ_Pima,-99,NULL,32.184607,-113.026429
14,00015,AZ,AZ_Pima,AZ_Pima,2749,AZ_Pima,-99,NULL,32.373919,-110.657424
15,00016,CA,CA_Kern,CA_Kern,1976,CA_Kern,-99,NULL,35.509967,-118.356683
16,00017,CA,CA_Fresno,CA_Fresno,1476,CA_Fresno,-99,NULL,37.170619,-118.927765
17,00018,CA,CA_Ventura,CA_Ventura,243,CA_Ventura,-99,NULL,34.612063,-119.079877
18,00019,CA,CA_Lassen,CA_Lassen,2077,CA_Lassen,-99,NULL,40.831751,-120.453914
19,00020,CA,CA_Madera,CA_Madera,2233,CA_Madera,-99,NULL,37.597958,-119.274968
20,00022,CA,CA_Mendocino,CA_Mendocino,2371,CA_Mendocino,-99,NULL,39.453489,-123.609936
